
antecedent,consequent,lift
"[""3/4 STL S/SCR EMT CONN"",""4IN SQ 5/8D 1G SW RING"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.160318286545235
"[""3/4 STL S/SCR EMT CONN"",""4IN SQ FLAT BLANK COVER""]","[""3/4 STL S/SCR EMT CPLG""]",5.14593910131241
"[""3/4 STL S/SCR EMT CPLG"",""18-10      RED     WIRE CONN"",""4IN SQ FLAT BLANK COVER""]","[""3/4 STL S/SCR EMT CONN""]",5.140303084214951
"[""3/4 STL S/SCR EMT CPLG"",""18-10      RED     WIRE CONN"",""4IN SQ FLAT BLANK COVER"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.139629680478936
"[""3/4 STL S/SCR EMT CONN"",""10-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE""]","[""3/4 STL S/SCR EMT CPLG""]",5.13380697216063
"[""3/4 STL S/SCR EMT CPLG"",""4SQ 1-1/2D BOX COMB KO"",""18-10      RED     WIRE CONN""]","[""3/4 STL S/SCR EMT CONN""]",5.100649912344283
"[""3/4 STL S/SCR EMT CPLG"",""4SQ 1-1/2D BOX COMB KO"",""18-10      RED     WIRE CONN"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.099790117903816
"[""3/4 STL S/SCR EMT CONN"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.093246301982115
"[""3/4 STL S/SCR EMT CPLG"",""4IN SQ FLAT BLANK COVER""]","[""3/4 STL S/SCR EMT CONN""]",5.077562239265858
"[""3/4 STL S/SCR EMT CONN"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE""]","[""3/4 STL S/SCR EMT CPLG""]",5.077239543267417
"[""3/4 STL S/SCR EMT CPLG"",""4IN SQ FLAT BLANK COVER"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.076466831465428
"[""3/4 STL S/SCR EMT CPLG"",""18-10      RED     WIRE CONN"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE""]","[""3/4 STL S/SCR EMT CONN""]",5.076015522893782
"[""3/4 STL S/SCR EMT CPLG"",""18-10      RED     WIRE CONN"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.075496713871996
"[""3/4 STL S/SCR EMT CPLG"",""4SQ 1-1/2D BOX COMB KO""]","[""3/4 STL S/SCR EMT CONN""]",5.066114745711556
"[""3/4 STL S/SCR EMT CPLG"",""4SQ 1-1/2D BOX COMB KO"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.064466004978557
"[""3/4 STL S/SCR EMT CPLG"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE""]","[""3/4 STL S/SCR EMT CONN""]",5.023440799804374
"[""3/4 STL S/SCR EMT CPLG"",""12-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",5.019902334010005
"[""3/4 STL S/SCR EMT CONN"",""18-10      RED     WIRE CONN"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",5.00601870898227
"[""3/4 STL S/SCR EMT CPLG"",""18-10      RED     WIRE CONN""]","[""3/4 STL S/SCR EMT CONN""]",5.000508762297188
"[""3/4 STL S/SCR EMT CPLG"",""18-10      RED     WIRE CONN"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",4.999481039095707
"[""3/4 STL S/SCR EMT CONN"",""18-10      RED     WIRE CONN""]","[""3/4 STL S/SCR EMT CPLG""]",4.995092539569383
"[""3/4 STL S/SCR EMT CPLG"",""10-1C THHN 600V CU-19STR PVC 90D NYL-BLK 500S/R WIRE""]","[""3/4 STL S/SCR EMT CONN""]",4.95266086902787
"[""3/4 STL S/SCR EMT CONN"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CPLG""]",4.920867396152342
"[""3/4 STL S/SCR EMT CPLG"",""\""3/4\""\"" X 10FT EMT STL HDG PXP CONDUIT\""""]","[""3/4 STL S/SCR EMT CONN""]",4.909391559519258
"[""3/4 STL S/SCR EMT CPLG""]","[""3/4 STL S/SCR EMT CONN""]",4.90371458009214
"[""3/4 STL S/SCR EMT CONN""]","[""3/4 STL S/SCR EMT CPLG""]",4.903714580092139
