itemname
300-1C THHN 600V CU-37STR PVC 90D NYL-BLK 500RL WIRE
20A 125V DPLX RCPT
2-1C THHN/THWN2/MTW 600V CU-19STR PVC NYL-BLK 15000RL WR
3/4 X 4 ALUMINUM NIPPLE
1-1/4 PLASTIC INS BUSHING
3/4 STR L/T CONN
5IN PVC COUPLING
1-IN D/C KO HUB
4SQ 1-1/2D BOX 1/2 KO
6-8X3/4 PLSTC WALL ANCH
"PANELBOARD ENCLOSURE INT&CVR SURFACE MOUNTING: 100A, 28CIRC"
1/2 90D 2-SCR FLEX CONN
3/8 X 1-1/4 STEEL HEX BOLT
4IN MI THRD INSD BSHG
4SQ BOX 1-1/2D
3G SS SWITCH PLATE
6-1C THHN 600V CU-19STR PVC 90D NYL-GRN 10000RL WIRE
3/4 MI THRD INSD BSHG
LOCKING CABLE TIE
125V 20A IVY DLXRCPT
WHT 20A-125V DPLX RCPT
IV IR OCCUPANCY SNSR
HG DPLX 20A-125V RCPT
CONDUIT CLAMP
3/4-10X3-1/2 CRRG BLT
3/8 DPLX BX CONN
14AWG 2C CABLE
500MCM PINK 2WAY CONN
CABLE CONN 1/2IN KO
600V RK TD FUSE
24-IN BOX HANGER BAR
3/8X3 SS STUD ANCH
TELECOMMUNICATION DUCT ELBOW
DUCT SOLVENT WELD COUPLING
14-7C TECK90 600V CU-7STR XLP 90D PVC-BLK 300M AL IA CBL
10/3 SO BLK 250CL PORT CBL
1-3/8 DEEP DEV BOX
2-1C THHN 600V CU-19STR PVC 90D NYL-BRN 1RL WIRE
3 -1/2 EMT CONNECTOR
CND/BOX SUPP
LIQUID TIGHT CONNECTOR
YEL INS WING WIRE CONN
10 X 3/4 PAN COMB TAP SCREW
2-IN STL S/S EMT CONN
8STR ALCU SPLIT BOLT
50CFM BATHROOM FAN
LA-16 2IN GRY 50FT
1-IN STEEL LOCKNUT
3/4 CAT5 CABLE CLIP
1/2 STR L/T CONNECTOR
"FIELD BEND&INSTALL (CUT&REAM ADD 10%) PVC CONDUIT: 5"""""
1-1/2 BUSHING
2HOLE ALCU CRIMP LUG
4-IN CBL HOOK
2-1/2D SW BOX W/EARS&KO
6-1C THW-2 600V CU-7STR PVC 90D NO-JKT GRN 500RL WIRE
FLAT WASHER
3/8 X 1-7/8 HEX SLEEVE ANCH
12-2C AC90 600V CU-1SOL XLP 90D NO-JKT 75M AL IA CBL
1-5/16 CAT5 CABLE CLIP
2-1/8D HANDYBOX
DISCONNECT SW
3/8 LAG SHIELD
ORANGE/BLUE CONN
1/4-20 X 1/2 FLAT HD MACH SCR
2 ALUM 90 ELBOW
1G WP DPLX RCPT CVR
2IN SCH40 90D ELBOW
250-1C XHHW 600V AL-22STR XLP 90D NO-JKT BLK 500RL WIRE
NM-B NM CABLE CLIP
3/8X2-3/4 STUD WEDGE ANCH
3-1/2 EMT 90 ELBOW
3/4 90D INS L/T CONN
4SQ 1-1/2D BX BOX
6-1C XHHW 600V CU-7STR XLP 90D NO-JKT GRN 500RL WIRE
4SQ 1/2D CVR W/GFCI RCPT
1-1/4 BX-FLEX STRT SQZ CONN
12X12       NM1 90D WIREWY ELL
EDW 2435-003 3-1/2FT DCTDET SMPL TB
4-IN NM TERMINATOR
1-1/2 PVC TERM ADPT
2G WP BOX W/7 3/4HUBS
"""PARKING LOT LIGHTING STEEL AND ALUMINUM POLE: 5""""X24FT"""
3 SCH 80 PVC 36 RAD 90D EL
3/16X2-1/4 MASONRY SCR
"""""""1/4"""""""" F/ B22&B24 PLTD TWIRL NUT"""""""
1-IN INS 90D SQZ CONN
1-1/2 INSL PLS BSHG
"""2-1/2"""" SS 316 TXT RIGID CONDUIT STANDARD COUPLING"""
3/8X2 SPLT RG EXT
4X4X4 J-BOX W/GSKT
WIREWAY 4 X 4 - N1 PAINT
12-1C THHN 600V CU-19STR PVC 90D NYL-BRN 500S/R WIRE
4/0 BARE SD STR CU 1R WIRE
1IN AL PIPE STRAP
3/8 D/C NM-B CONNECTOR
3-1/2 SQZ FLEX CONN
1/2   INS GRND BUSH
3/4 ALUM T EMT BODY
"FIELD BEND&INSTALL (CUT&REAM ADD 10%) EMT CONDUIT: 2"""""
1/4 X 1-1/2 HH Z-PLTD MACH BOLT CAP SCREW
2-1/2 INS SQZ FLXCONN
3-7/16 X 4 X 3-3/4 2G SW BOX W/ NAILS
FLUSH POKE-THRU ASSY
WALL-MNT HID WALL PACK LIGHT FIXTURE: 50W
3/4 AL SG BOX
2-1/2 24RAD 90D ELBOW
8-3C AC90 600V CU-7STR XLP 90D NO-JKT 300M AL IA CBL
1AWG COP LUG
1-1/2 L/T FLEX PVC
3-4IN WI MNTG KIT
3 INS SQZ FLEX CONN
3/0AWG RUBY 3/8 1H ALCU LUG
4 STL COND LOCKNUT
IV    DECORA/GFCI PLT-1G DPLX
2 1H STL STRAP
"""3/4"""" STL EZ-PLTD NON-INS STRT L/T FMC CONN"""
1/4 X 1 FENDER WASHER
300-1C XHHW-2 600V AL-35STR XLP 90D NO-JKT BLK 1000RL WIRE
SP 20A  120/240V PLUG-IN CB
"""3/8"""" DC-ZINC NON-INS STRT SET-SCR FMC/AC CONN"""
GRD LKG PLUG-N L16-20P
4-IN PVC-CT KO HUB
1G ALUM BLNK COVER
CONDUIT TCG2 3/4 MAL BDY CVR&GSKT
4-IN STL S/SCR EMT CONN
1G SS BLANK PLATE
"PANELBOARD ENCLOSURE INT&CVR SURFACE MOUNTING: 400A, 36CIRC"
2IN BRIDLE RING
3/4 STL COND BODY CVR
1H MALL PVC-CT STRAP
METER CABINET
1/2 BRONZE FLATWASHER
4 SCH 40 PVC 36 RAD 90D EL
1-1/4 90D L/T CONN
1/4PT CAN PVC CEMENT
3/8 SADDLE TYPE CONN
BR-13 1IN 50FT CND
8STR-4STR CU COND
3-1/2 ALUM INS HUB
3/4 1H MALL COND STRAP
3/0AWG 3/8  SCREW COP 1H LUG
12 GA 1 5/8 X 1 5/8 GOLD CHNL
12-1C RW90 600V CU-7STR XLP 90D NO-JKT WHT 300M SE WIRE
20A 120/277V QUIET SW
3/4 D/C S/SCR EMT CONN
3/4 MALL BUSHED NIPPLE
2-IN NM COND 10FT
1IN INSL PLS BSHG
1G IV DPLX RCPT PLATE
1G WP BOX W/3 1/2 HUBS
18-10   RED    INSUL WIRE CONN
3X3 BASE SPACER
"""1-1/2"""" DC-ZINC NON-INS STRT SCR-ON FMC CONN"""
4 PVC FEMALE ADAPTER
1-1/2 PLAS INS BUSHING
SP 30A 120/240V CB
SZ1 2P 1PH 115/230V N1 MAN STR
3/4 STL COMP EMT CPLG
2 X 100 FT UNPRINTED TAPE
1-1/2 AL LB EMT BODY
120-12/24V 100W SIGNAL TFMR
NYL DEC/GFCI PLT-3GANG
1/16-3/16 SNAP CLIP
1/2-13 ANCHOR
1G SS SGL RCPT PLATE
1G SW&RCPT BOX
ACCOUSTICAL T-BAR CLIP
2 PVC EXPAN COUPLING
1IN EMT 1/4&SMALLER FLNG
1-IN SNAP-IN KO BLANK
1/2X4-1/4 GALV STUD ANCH
3IN CONDUIT CLAMP
2IN STEEL EMT CND
4/0-3C TECK90 1KV CU-18STR XLP 90D PVC-BLK 300M AL IA CBL
3-1/2 PVC TERM ADPTR
1-1/4 L/T FLEX PVC
1-IN PIPE HGR
1-IN S/SCR COND CONN
1-IN D/C S/SCR EMT CPLG
2-IN 105D PLSTC BUSH
"""1"""" X 10FT EMT STL HDG PXP CONDUIT"""
1-1/4 PLSTC 105D INS BUSH
WALL-MNT 600V 3PDT NEMA-1 AUTOMATIC TRANSFER SWITCH: 1200A
2X90D AL STD EL
4 BARE SD STR CU 1000R WIRE
302SS 1G TOG SS PLT
1 D/C SET SCREW CONN
30A-600V-3P SW
2-1/2D 2G MASONRY BOX
LA-15 1-1/2 GRY 50FT
350MCM COP TAP CONN
1/4-20 X 1 CAP SCREW
SWITCH NOT FUSIBLE HD
3/4   INS ZINC RT HUB WO/SCREW
BACKFILL AND COMPACTION OF TRENCH: 6X18 DEEP
1/2 INS S/SCR EMT CONN
3/4&1IN KO UNIV # 72171-3/4&1
1/4X4 M/H TGL BOLT
GRY TW WIRE NUT-50BOX
COBRA PIPE CLMP
3-IN STL S/SCR EMT CONN
4/0-1C THHN 600V CU-19STR PVC 90D NYL-GRN 2500RL WIRE
4IN SQ FLAT CVR W/1/2 KO
14X2X2 BLK SUPP KT
1IN MTL L/T FLEX COND
2-1/2 D/C SET SCREW CPLG
1IN FITT
2-1/2 STEEL LOCKNUT
3/4 MALL BUSHED NIP
3/16-24 TOG BOLT
3/4 90D L/T CONN
3/0-3C TECK90 1KV CU-18STR XLP 90D PVC-BLK 300M AL IA CBL
1-1/4 PVC TERM ADPTR
1-1/4 FORM 8 T FTG
4-IN AL C CONDUIT BODY
3/4 MALL 90 SQZ CONN
IVY 20A DPLX RCPT
2G BLANK - CAST COVER
2P 50A CKT BRKR
8-18X1/2 WH SELF DRL SCR
CND BDY
1IN PVC COUPLING
LA-13 1IN GRY 100FT
2RCPT FS CVR
FLUOR FIX
1G 1IN FDD-BOX
3/8X4 HEX HD LAG BOLT 25/BX
HANDYBOX COVER F/SWITCH
CONCRETE RING 4IN DEEP
24-IN SGL SWIVEL STEM HNGR
3 INS R/T MALL COMP CONN
4 OCT 1-1/2D BX BOX W/HGR
4-11/16SQ 3/4D 1G SW RING
1-1/4 MALL SQZ FLEX CONN
1IN FEM/FEM COND SEAL
3-IN  PLASTIC INS BUSHING
"""1-1/4"""" MI EZ-PLTD INS-105C STRT SQUEEZE FMC CONN"""
2-1/2 SCH 40 M ADPT
4WAY 20A 277V IV SW
3-IN MALL LOCKNUT
LKG RCPT-NMA L15-30R
2C/16 SH FPLP CBL
3/0AWG BUTT SPLICE
1G WP BOX W/5 1/2 HUBS
20A 125V BRN LOCKOUT GFCI
6-IN 105D PLASTIC BUSHING
3 PVC BELL END
12-2C AC 600V CU-1SOL WBW-16 THHN BK/WT 1000RL STL IAC
4-1C RW90 600V AL-7STR XLP 90D NO-JKT BLK LONG SE WIRE
25W WHT STEP LITE
NYL 2G DUPLX PLT
1-5/8 CHNL
1G 5S ADJUSTABLE RING
4-IN SQ BOX W/NAILS
1-1/4IN PVC CTD TYPE-T FORM-7 CONDUIT BODY & COVER
3/4 D/C S/SCR EMT CPLG
4-1C THHN 600V AL-7STR PVC 90D NYL-BLK 5000RL WIRE
2P 3W 15A 277V CONN
3 D/C SET SCREW CPLG
1-1/2 CTD AL CPLG
1-1/2X10FT SCH 80 PVC CONDUIT
3/8 X 2 STEEL HEX BOLT
18.00X18.00X4.00
NEMA1 HNG CVR BOX
5.5IN NAT NYL CBL TIE
4 STR L/T CONNECTOR
1-5/8D5G GANGBOX
2-IN 105D PLASTIC BUSH
1-1/4 RGD COND CLIP W/BOLT&NUT
"""1G 3/4"""" FS-DEV BOX"""
BRACES&SUPPORTS
3/8 ZP MED SPLIT LCKWSH
8H POST BASE
3IN EMT INSUL CONN
